rating,userId,movieId
4.0,610,108932
3.0,313,3671
3.0,98,179819
3.5,600,2506
4.5,292,3147
5.0,367,4700
1.0,160,2021
5.0,580,8371
1.5,352,67923
4.0,32,246
4.5,480,5265
3.5,129,541
3.0,388,7247
5.0,337,95
4.0,474,26662
3.5,351,86320
3.0,352,1835
3.5,599,98124
3.5,280,65585
2.5,365,135436
4.0,580,7090
3.0,606,47261
4.0,182,3272
3.0,68,1801
5.0,603,2551
4.5,175,3969
3.5,91,1517
3.5,414,7163
4.0,203,70286
1.5,182,2153
4.0,105,93790
4.0,452,3438
4.0,387,1104
3.5,505,3039
3.0,350,719
4.0,210,3147
4.5,239,50
3.5,334,231
4.0,432,593
4.0,408,134130
3.5,583,1732
3.0,610,3744
4.0,512,160
5.0,458,364
3.5,466,7438
5.0,531,1291
3.0,448,1917
4.0,600,3608
3.0,483,2378
4.0,104,2355
4.5,182,3275
5.0,344,112852
1.0,603,610
4.0,132,4641
1.5,298,88812
3.0,480,3702
3.5,599,90243
3.0,555,2262
3.5,610,5989
4.5,503,2025
3.5,116,1293
4.0,610,81562
4.5,89,119155
4.0,94,316
4.5,219,2301
4.0,212,80693
3.0,509,1967
5.0,453,4027
3.5,475,32031
4.0,286,165
2.0,50,87222
4.0,474,3039
4.0,608,2628
4.0,159,587
3.5,561,6800
2.0,298,6059
4.0,370,589
4.0,606,50068
2.5,132,1296
0.5,599,5428
4.0,527,2950
5.0,587,58
5.0,234,2081
5.0,103,4881
5.0,278,318
5.0,240,216
4.0,588,349
3.5,480,1078
5.0,137,1288
3.5,474,728
1.0,294,1005
5.0,448,1136
2.5,599,2245
4.0,200,53125
2.0,305,106766
3.5,420,54272
4.5,68,104
4.0,138,1960
3.0,596,95510
2.0,469,588
3.0,380,5419
4.0,215,7153
2.0,372,709
2.5,606,6373
4.5,274,58559
2.5,182,5266
5.0,103,1228
2.5,68,110
3.5,222,91542
5.0,456,780
3.0,561,8972
4.0,177,1271
4.5,332,3201
3.5,480,35957
1.0,4,1704
3.0,599,2081
3.0,608,6016
4.0,57,1954
2.5,590,8972
5.0,59,906
3.0,514,2002
5.0,492,805
2.5,605,596
4.0,564,3948
3.5,249,184015
4.0,341,117529
4.0,353,231
5.0,268,29
3.5,319,137857
3.0,105,4344
4.0,370,1285
3.0,274,2335
4.0,7,1210
3.0,380,1702
4.0,195,431
4.0,226,529
4.0,64,1617
2.0,132,3261
4.0,64,2797
4.0,380,780
5.0,356,37384
4.5,462,2985
4.0,414,3949
3.5,561,377
4.5,64,6331
3.0,480,4489
4.0,89,898
2.0,414,47122
4.5,119,115149
4.0,80,93840
5.0,68,67618
2.5,480,21
3.5,194,1653
4.0,140,2077
5.0,22,541
4.0,100,587
4.0,506,40629
4.0,585,2447
5.0,594,593
4.5,480,1183
4.5,288,3897
4.0,493,1240
5.0,603,3201
3.5,249,89
4.0,201,435
1.0,608,829
4.0,483,26662
4.0,216,2186
5.0,469,1262
4.0,232,81512
1.0,298,8969
5.0,58,315
5.0,240,344
3.0,91,4661
4.0,305,1129
3.0,448,6281
4.0,484,586
0.5,207,3264
2.0,219,1769
4.0,410,2144
4.5,562,529
3.0,606,2724
1.5,517,6373
5.0,30,1196
4.0,608,7254
5.0,236,3052
4.5,232,69481
4.0,279,1222
4.0,469,3832
4.0,380,5478
3.0,380,97785
1.0,233,115713
3.0,132,1125
2.5,307,4109
3.0,127,903
3.0,195,4022
4.0,425,1291
5.0,380,65514
4.0,169,1270
2.5,434,780
4.0,198,1704
3.0,380,43871
3.5,105,7063
2.0,455,435
4.0,105,86628
3.5,563,108190
4.0,377,272
3.0,603,320
4.5,414,166024
4.5,352,81562
3.5,274,32213
2.5,152,60074
3.0,380,147372
4.5,369,1625
5.0,391,858
3.0,292,1917
4.0,560,8464
4.0,603,3160
4.0,538,3398
5.0,66,357
3.5,104,108190
4.0,387,6874
2.0,448,91325
3.0,501,637
5.0,483,65642
5.0,104,357
4.5,132,2571
4.0,246,2805
3.0,290,1385
4.0,525,27878
4.0,153,56367
3.5,608,2616
4.0,606,1347
5.0,249,1219
4.0,587,21
4.0,520,7266
2.0,448,59615
3.5,525,3578
4.0,177,63876
3.5,354,225
5.0,477,31658
4.0,233,4973
3.5,68,45950
3.0,414,316
2.0,288,2050
4.5,600,1288
3.0,428,4896
4.5,91,8961
3.0,453,1704
4.0,359,4034
3.0,448,357
3.5,474,3681
4.5,606,1230
4.0,606,26527
0.5,307,1324
4.0,166,17
5.0,105,147300
3.5,534,1591
3.5,419,6502
3.5,226,3668
1.0,603,4802
2.5,62,8371
2.0,356,6620
3.0,387,1101
2.0,474,5303
0.5,477,810
4.0,351,6539
2.0,57,1179
4.5,474,30820
4.5,220,5816
4.0,63,4979
4.0,391,2947
4.0,597,913
3.5,177,56171
4.0,414,368
2.0,552,2141
3.5,83,2324
1.0,274,4874
5.0,610,3671
3.0,448,6663
1.0,438,41573
5.0,357,1221
3.0,599,338
4.0,122,58559
3.0,259,4014
2.0,599,121035
3.5,298,3018
3.0,42,163
2.0,199,3316
4.0,603,3067
3.0,229,509
5.0,527,2137
5.0,80,6952
4.0,96,3176
1.0,275,3160
2.5,219,3440
3.5,606,412
3.0,509,38038
4.0,159,4306
5.0,534,5449
3.0,68,61024
2.0,448,59900
3.0,273,592
3.5,22,8970
5.0,249,96610
4.0,541,529
4.0,156,1704
3.0,234,3398
3.5,187,551
4.0,318,101741
4.0,212,1206
3.5,274,33437
5.0,424,50
4.0,414,3071
4.5,480,46967
4.0,378,116797
4.5,98,593
5.0,562,6870
5.0,89,53578
4.0,57,112
4.5,64,8795
4.0,590,933
4.0,415,588
2.0,599,2803
4.0,263,6539
3.5,356,44191
4.0,372,1307
2.0,414,7149
3.0,38,356
3.0,249,101
5.0,252,364
5.0,582,79132
2.5,89,7209
5.0,89,85780
4.0,64,1777
1.0,576,372
4.5,352,2028
1.0,358,2338
1.5,298,94953
2.0,483,1544
3.5,414,160980
3.0,385,25
2.0,448,6349
3.0,411,372
3.0,156,1414
4.5,227,2571
3.5,250,1092
3.0,292,101362
1.5,287,2115
1.0,160,2531
5.0,68,6155
4.0,425,73323
3.0,559,368
5.0,430,4034
4.0,105,107141
5.0,492,1499
2.0,414,2404
3.0,480,6377
4.0,298,1247
4.5,286,2028
3.0,68,50
5.0,579,3176
2.0,108,151
4.0,367,39
4.0,511,55908
3.0,170,595
3.0,414,5665
3.0,448,1091
3.5,520,42002
5.0,493,1954
5.0,483,32
2.0,453,3863
4.0,263,356
3.5,474,7762
2.5,272,134853
4.0,380,1485
4.5,403,2329
4.0,304,32
4.5,66,1023
4.0,380,12
4.0,166,2353
4.5,599,3468
2.0,428,168
4.0,267,2013
3.5,21,135536
4.0,105,101088
4.0,280,4039
2.5,200,37386
2.0,387,533
3.0,44,785
2.5,28,1994
4.0,474,2797
3.5,104,8866
3.0,414,1376
3.5,129,4306
4.5,288,68954
5.0,68,1197
3.0,137,1262
4.0,105,91542
3.0,325,2355
4.0,18,8665
3.5,610,27706
5.0,239,1089
3.5,318,1220
2.5,140,4774
4.0,354,30707
4.0,249,6548
5.0,413,69122
3.0,559,500
5.0,562,63082
4.0,572,838
5.0,169,1721
3.0,76,318
3.0,514,185473
4.0,414,167570
3.5,480,1500
4.0,530,440
5.0,391,3160
4.0,280,34162
4.0,474,2019
4.0,568,46723
4.5,606,2183
4.0,606,4361
3.5,599,1197
5.0,349,597
5.0,282,1270
4.0,434,750
4.0,420,2858
3.0,559,292
4.0,414,3504
3.5,425,3253
3.0,580,1876
4.5,332,1682
4.5,414,68237
4.0,318,168492
5.0,344,260
4.5,489,110
3.0,368,3102
4.0,318,105254
4.0,68,51255
3.0,517,1148
2.5,298,87869
4.0,606,5965
5.0,224,1197
3.0,308,355
5.0,288,5060
2.5,298,6754
3.5,239,4085
2.0,313,4084
4.0,52,119145
4.0,177,64983
5.0,339,3741
3.5,249,4344
4.0,349,145
1.0,219,2296
4.0,483,30793
3.5,561,2416
3.5,64,4370
3.0,140,3100
5.0,166,8665
3.5,274,7117
3.0,560,4246
3.0,17,1358
3.0,555,3051
2.0,42,3208
4.0,226,1672
2.5,483,1092
3.5,610,34532
2.0,232,7262
4.5,477,42422
4.5,593,4993
2.0,469,3767
3.0,140,1193
1.0,600,8972
2.0,217,2863
3.0,414,112
4.0,380,953
5.0,587,3451
3.0,68,1597
3.0,594,1208
4.5,64,4002
2.5,599,832
3.0,68,3755
3.5,184,193583
0.5,78,546
4.0,125,128360
3.5,28,55721
2.5,599,47099
5.0,476,318
3.0,202,1047
3.0,313,2311
3.0,577,2046
4.0,414,6269
2.0,42,2105
5.0,477,1223
3.5,111,93326
3.5,232,4370
5.0,459,99114
5.0,52,96811
4.0,6,54
5.0,191,148
5.0,121,318
4.0,1,1042
5.0,45,2081
4.0,133,318
4.0,129,2959
1.5,15,112852
5.0,232,8533
1.5,182,5427
4.0,599,4963
5.0,93,527
2.0,599,3864
4.0,427,1304
4.0,221,1923
3.0,42,2144
5.0,76,858
4.0,185,4308
3.5,249,167370
4.5,248,122904
3.0,20,5349
4.0,165,4085
3.0,414,383
3.0,380,80219
5.0,483,68954
5.0,288,4993
3.5,301,3408
3.0,380,4018
2.5,599,26365
5.0,1,50
2.5,599,122924
3.5,534,8972
3.0,448,4040
5.0,422,1272
4.0,312,1584
3.0,596,51077
2.0,292,64231
5.0,95,1228
2.5,599,1034
3.0,249,4643
3.0,199,1230
4.5,307,527
4.0,309,7943
3.5,172,590
4.0,208,589
4.0,182,94
5.0,33,2357
1.0,483,1409
3.5,232,7156
4.0,74,5791
4.0,597,1845
4.0,122,117529
4.0,560,73344
3.0,372,590
5.0,275,246
5.0,136,364
4.0,274,3703
5.0,62,174053
3.0,91,466
4.0,379,380
4.0,279,164179
4.5,249,3681
4.5,600,2502
3.0,381,6754
2.0,113,64
3.5,610,95558
5.0,548,733
3.5,318,8361
3.0,599,4292
3.0,126,161
5.0,594,480
4.0,292,1610
2.5,599,1485
4.0,234,4232
4.0,171,1196
3.5,606,3897
4.5,254,47099
4.0,63,592
3.5,274,1259
4.0,600,1251
4.5,525,142115
2.5,504,1289
2.5,599,55267
3.0,23,6387
4.0,274,2890
4.0,325,1676
5.0,352,139385
4.0,192,590
5.0,428,1639
3.5,357,3396
1.0,517,48738
3.5,111,86911
2.5,509,74530
1.0,567,111360
3.0,368,431
4.0,32,141
4.5,477,46976
4.0,520,2321
3.0,599,2628
4.0,542,5418
1.0,448,103228
2.5,387,33188
3.5,560,2028
2.0,448,144716
3.5,474,2067
4.0,97,3257
3.5,274,5445
2.5,599,553
2.0,490,53125
2.0,380,2860
4.5,525,94959
4.0,483,180
3.5,381,1291
2.0,381,2300
3.0,465,3704
3.0,395,586
5.0,6,314
4.5,105,47099
4.0,560,82459
4.5,504,7139
3.5,274,34534
1.0,4,539
4.0,496,5952
3.0,610,8371
3.5,182,6330
3.0,288,1408
3.0,307,1552
5.0,162,381
3.5,282,7438
2.5,438,798
3.0,599,4574
3.5,91,288
4.0,68,70286
4.5,434,356
4.0,136,276
3.0,232,2137
5.0,331,61323
2.5,610,45662
3.5,279,2791
3.5,428,1333
2.5,141,4718
3.0,607,2080
4.0,314,17
3.5,64,3100
4.0,305,965
